,evolutionary_track,x,y,x2,xlog,ylog,xrange,yrange,xnormalization,ynormalization,kname,combination,mean_deviation,max_deviation,saveGPmodel,saveGPdata
56,m1.22_feh-1.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[38144692.244854905, 4871432076.043835]","[4966.6294224459525, 6672.2454634047535]",True,True,constant + exponential,True,0.0001029596157362392,0.0012033959389994298,m1.22_feh-1.5_MLT1.9_fov0.018.gpdict,m1.22_feh-1.5_MLT1.9_fov0.018.gpdata
57,m1.0_feh-5.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[55607328.22948477, 7794749301.689654]","[5070.0659145572245, 6520.598448302363]",True,True,constant + exponential,True,3.5157401093931074e-05,0.00027953284014847757,m1.0_feh-5.0_MLT1.9_fov0.018.gpdict,m1.0_feh-5.0_MLT1.9_fov0.018.gpdata
58,m1.27_feh-5.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[27196201.81008047, 3260504762.983039]","[5181.027193024753, 7533.125206361404]",True,True,constant + exponential,True,9.599991355344683e-05,0.0007378687008440243,m1.27_feh-5.5_MLT1.9_fov0.018.gpdict,m1.27_feh-5.5_MLT1.9_fov0.018.gpdata
59,m1.11_feh2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[64559907.00580713, 9197578316.963648]","[4707.229181036454, 5925.249531453241]",True,True,constant + exponential,True,0.00010399944540792634,0.0012799761825026401,m1.11_feh2.5_MLT1.9_fov0.018.gpdict,m1.11_feh2.5_MLT1.9_fov0.018.gpdata
60,m0.9400000000000001_feh1.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[92908396.29624578, 16073864833.634722]","[4714.815690571643, 5625.052525794835]",True,True,constant + exponential,True,5.934317217828689e-05,0.0006529060291297073,m0.9400000000000001_feh1.5_MLT1.9_fov0.018.gpdict,m0.9400000000000001_feh1.5_MLT1.9_fov0.018.gpdata
61,m1.05_feh-3.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[55684117.0601076, 7487250598.980112]","[4842.055616694403, 6351.217814982527]",True,True,constant + exponential,True,7.423686124910614e-05,0.00045601532296468683,m1.05_feh-3.0_MLT1.9_fov0.018.gpdict,m1.05_feh-3.0_MLT1.9_fov0.018.gpdata
62,m1.15_feh2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[59720749.03668942, 8104107064.897644]","[4753.820360111885, 6017.608816454821]",True,True,constant + exponential,True,0.00025813573249887833,0.004041315990281014,m1.15_feh2.5_MLT1.9_fov0.018.gpdict,m1.15_feh2.5_MLT1.9_fov0.018.gpdata
63,m1.26_feh2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[44853317.01967694, 5794925970.816361]","[4795.4788312887395, 6270.636586675869]",True,True,constant + exponential,True,0.00010521359137958142,0.0016325308090091584,m1.26_feh2.5_MLT1.9_fov0.018.gpdict,m1.26_feh2.5_MLT1.9_fov0.018.gpdata
64,m0.9_feh-1.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[88801224.74788558, 15407077670.962704]","[4834.266323343962, 5816.017222709631]",True,True,constant + exponential,True,7.088773514171824e-05,0.0005805107930233477,m0.9_feh-1.0_MLT1.9_fov0.018.gpdict,m0.9_feh-1.0_MLT1.9_fov0.018.gpdata
65,m0.99_feh0.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[75391662.02814879, 12278768269.47817]","[4772.436367833059, 5858.984452049155]",True,True,constant + exponential,True,0.0001221089949101621,0.0007484810178345347,m0.99_feh0.5_MLT1.9_fov0.018.gpdict,m0.99_feh0.5_MLT1.9_fov0.018.gpdata
